steamid,playtime_forever,achievement_count,crafting_count,crafting_percent,combat_count,combat_percent,exploration_count,exploration_percent,death_count,death_percent,leveling_count,leveling_percent,survival_count,survival_percent,max_survive_minutes,max_items_crafted,max_zombies_killed,max_players_killed,max_fortitude_skill,max_travel_distance,max_death_count,max_character_level,efficiency,efficiency_cap,stage1_speed,stage1_speed_KMeans,stage1_speed_GMM,stage1_speed_Agglomerative,stage2_persona,log_play,cheater_flag
76561198001873585,309,2,0,0.0,2,0.1333333333333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0,10,0,0,0,0,0,0.006472491909364167,0.006472491909364167,Normal,Normal,Normal,Normal,0.0,5.736572297479192,False
76561198971959226,800,13,5,0.625,3,0.2,1,0.1666666666666666,2,0.5,1,0.2,1,0.2,60,50,10,0,0,10,7,7,0.016249999999979687,0.016249999999979687,Normal,Normal,Normal,Normal,5.0,6.68586094706836,False
76561198058291396,559,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.327936783729195,False
76561198042773556,21093,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.00203859100175404,0.00203859100175404,Slow,Normal,Normal,Normal,1.0,9.95674391883656,False
76561198187410553,2200,23,7,0.875,4,0.2666666666666666,2,0.3333333333333333,4,1.0,4,0.8,2,0.4,180,1500,500,0,0,50,28,140,0.010454545454540703,0.010454545454540703,Normal,Normal,Normal,Normal,5.0,7.696667081526462,False
76561198000413287,484,6,1,0.125,2,0.1333333333333333,1,0.1666666666666666,2,0.5,0,0.0,0,0.0,0,0,0,0,0,10,7,0,0.01239669421485042,0.01239669421485042,Normal,Normal,Normal,Normal,5.0,6.184148890937483,False
76561198032591844,888,7,4,0.5,1,0.0666666666666666,0,0.0,1,0.25,1,0.2,0,0.0,0,50,10,0,0,0,1,7,0.007882882882874006,0.007882882882874006,Normal,Normal,Normal,Normal,0.0,6.790097235513905,False
76561198843434426,1032,16,5,0.625,4,0.2666666666666666,2,0.3333333333333333,3,0.75,1,0.2,1,0.2,60,50,100,0,0,50,14,7,0.015503875968977225,0.015503875968977225,Normal,Normal,Normal,Normal,5.0,6.940222469119639,False
76561197976602082,6935,26,7,0.875,6,0.4,3,0.5,3,0.75,4,0.8,3,0.6,600,1500,2500,1,0,250,14,140,0.0037490987743325523,0.0037490987743325523,Slow,Normal,Normal,Normal,1.0,8.844480518460378,False
76561198352272979,3365,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.012778603268941225,0.012778603268941225,Normal,Normal,Normal,Normal,1.0,8.121480374750751,False
76561197971204006,588,4,3,0.375,1,0.0666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.006802721088423805,0.006802721088423805,Normal,Normal,Normal,Normal,0.0,6.3784261836515865,False
76561198004006226,517,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.249975242259483,False
76561198994062628,2430,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.017695473251021526,0.017695473251021526,Normal,Normal,Normal,Normal,1.0,7.796057974316123,False
76561198060410834,2671,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,7.890582534656536,False
76561198034096440,5330,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.008067542213882162,0.008067542213882162,Normal,Normal,Normal,Normal,1.0,8.581294116822761,False
76561198041298094,744,18,5,0.625,8,0.5333333333333333,1,0.1666666666666666,2,0.5,1,0.2,1,0.2,60,50,100,0,10,10,7,7,0.024193548387064258,0.024193548387064258,Normal,Normal,Effective,Normal,5.0,6.61338421837956,False
76561198207088253,222,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,5.407171771460119,False
76561198043828654,438,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.0844994130751715,False
76561197997112174,255,3,1,0.125,1,0.0666666666666666,0,0.0,1,0.25,0,0.0,0,0.0,0,0,10,0,0,0,1,0,0.011764705882306806,0.011764705882306806,Normal,Normal,Normal,Normal,0.0,5.545177444479562,False
76561198368799839,456,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.124683390894205,False
76561198007609033,535,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.284134161070802,False
76561198102700771,13381,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.0032135116956876755,0.0032135116956876755,Slow,Normal,Normal,Normal,1.0,9.501665799342762,False
76561198023116710,6159,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.006981652865723821,0.006981652865723821,Normal,Normal,Normal,Normal,1.0,8.725832056527565,False
76561198062505918,4190,7,5,0.625,1,0.0666666666666666,0,0.0,1,0.25,0,0.0,0,0.0,0,50,10,0,0,0,1,0,0.0016706443914077157,0.0016706443914077157,Slow,Normal,Normal,Normal,0.0,8.340694647925071,False
76561197990233857,505,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,Slow,Normal,Normal,Normal,0.0,6.226536669287466,False
76561198059307202,27552,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.0015606852497095833,0.0015606852497095833,Slow,Normal,Normal,Normal,1.0,10.223866701574616,False
76561197998096051,4598,43,8,1.0,15,1.0,6,1.0,4,1.0,5,1.0,5,1.0,1680,5000,2500,25,10,1000,28,300,0.009351892127009709,0.009351892127009709,Normal,Normal,Normal,Normal,1.0,8.433594167539924,False
